"League","Year","Wins","ERA","SO","WAR","ERA+"
"NL","1977",0.918670802821143,0.557142857142857,0.210989010989011,0.0824175824175824,0.646153846153846
"NL","1978",0.603185822579086,0.165486029122393,0.13301849665486,0.472451790633609,0.0159386068476978
"NL","1979",-0.2,0.510204081632653,0.04,0.000816326530612245,0.0661224489795919
"NL","1980",0.774596669241483,0.00136054421768707,0.136054421768707,0.266666666666667,0.0122448979591837
"NL","1981",0.9,0.01,0.49,0.25,0.16
"NL","1982",0.629625739172543,0.166795366795367,0.0651544401544401,0.00463320463320463,0.166795366795367
"NL","1983",0.689255622960735,0.00146627565982405,0.0104268491365266,0.166829586184425,0.0319322254806126
"NL","1984",-0.257142857142857,0.510204081632653,0.0204081632653061,0.137959183673469,0.431836734693878
"NL","1985",0.821428571428571,0.674744897959183,0.510204081632653,0.79719387755102,0.5625
"NL","1986",0.693148518367146,0.102345415778252,0.085998578535892,0.409381663113006,0.139303482587065
"NL","1987",-0.134396418749691,0.0789670100014928,0.519629795491865,0.276011344976862,0.0658307210031348
"NL","1988",1,0.25,0.25,0.25,0.25
"NL","1989",0.295163026345124,0.0475955204216074,0.0322793148880105,0.201745718050066,0.0797101449275363
"NL","1990",1,0.09,0.09,0.36,0.09
"NL","1991",0.312529068415486,0.00553709856035438,0.0267995570321152,0.0179401993355482,0.0976744186046512
"NL","1992",0.9,0.36,0.16,0.25,0.64
"NL","1993",0.788581629602849,0.00302690582959641,0.323206278026906,0.148318385650224,0.00302690582959641
"NL","1994",0.87034373851362,0.000142146410803127,0.528926794598436,0.46183368869936,0.0240227434257285
"NL","1995",0.7,0.36,0.04,0.49,0.36
"NL","1996",0.538636013802277,0.116845493562232,0.000107296137339056,0.0618025751072961,0.124034334763948
"NL","1997",0.1,0.36,0.01,0.49,0.36
"NL","1998",0.474061222368157,0.107712765957447,0.00531914893617021,0.00531914893617021,0.132978723404255
"NL","1999",0.408248290463863,0.00166666666666667,0.166666666666667,0.666666666666667,0.00166666666666667
"NL","2000",0.428571428571429,0.0204081632653061,0.000816326530612245,0.0987755102040817,0.0204081632653061
"NL","2001",0.7,0.16,1,0.49,0.16
"NL","2002",0.549420926100624,0.182608695652174,0.730434782608696,0.450931677018634,0.182608695652174
"NL","2003",-1,1,0.16,0.04,1
"NL","2004",0.798830552808817,0.247058823529412,0.213025210084034,0.113760504201681,0.247058823529412
"NL","2005",0.720119037778775,0.21,0.347142857142857,0.0385714285714286,0.107142857142857
"NL","2006",0.19047619047619,0.0090702947845805,0.0204081632653061,0.0459183673469388,0.00510204081632653
"NL","2007",0.540383094562449,0.45,0.253125,0.6125,0.3125
"NL","2008",0.542857142857143,0.0987755102040817,0.235918367346939,0.235918367346939,0.04
"NL","2009",0.6,0.81,0.01,0.49,0.81
"NL","2010",0.50348388666314,0.363620784206197,0.187688511105018,0.570366054291198,0.377879078694818
"NL","2011",0.84704339763823,0.043283032756717,0.717482517482517,0.755741626794258,0.121954361428046
"NL","2012",0.426042961498036,0.0453781512605042,0.343172268907563,0.529726890756302,0.0532563025210084
"NL","2013",0.031551550492331,0.287699597817863,0.168239557201449,0.344403297097121,0.439015649265321
"NL","2014",0.790357971317575,0.108241451799734,0.352496174582064,0.40844023052612,0.0938264189797932
"NL","2015",0.9,0.36,0.284444444444444,0.466944444444444,0.340277777777778
"NL","2016",0.454545454545455,0.111111111111111,0.04,0.27801652892562,0.119338842975207
"NL","2017",0.599907671836196,0.391169762137504,0.110133594004562,0.440534376018247,0.475073313782991
"NL","2018",0.0333333333333333,0.401111111111111,0.537777777777778,0.81,0.64
