"YEAR","SO","BB","1B","2B","3B","HR"
1928,7.42723318835731,8.01271328203413,24.7115860642586,4.41619270659083,1.18768819003011,1.13750418200067
1929,7.2389174829819,8.30151087497925,25.4481899301887,4.64884608998838,1.21202058774697,1.39465382699651
1930,8.15923671656522,7.86313538410923,26.1915810961995,4.88567198552393,1.31600592202665,1.61210725448265
1931,8.20572569906791,7.98934753661784,24.9013964514247,4.69374167776298,1.11517976031957,1.11517976031957
1932,8.14974324995859,7.81845287394401,24.8425499547007,4.73745237700845,1.10982275964883,1.40798409806195
1933,7.86136939983094,7.75993237531699,24.1703650403826,4.17582417582418,1.01437024513948,1.13271344040575
1934,8.82303699983258,8.22032479491043,24.9648839724068,4.52034153691612,0.920810313075507,1.40632847815168
1935,8.3153168135706,8.14901047729918,24.9151534832133,4.4403791784467,1.03109928488275,1.38034259105272
1936,8.4177835894083,8.59758090879372,25.2869121508235,4.56031382804838,0.99705786204642,1.3893429225237
1937,9.36772046589018,8.78535773710482,24.6105630936791,4.39267886855241,1.03161397670549,1.48086522462562
1938,8.74161073825503,9.06040268456376,24.3160781045899,4.24496644295302,0.973154362416107,1.54362416107383
1939,8.85738115095913,8.84070058381985,24.2573426145363,4.32026688907423,0.950792326939116,1.50125104253545
1940,9.44120100083403,8.62385321100918,23.8720201224123,4.27022518765638,0.967472894078399,1.63469557964971
1941,9.15271099320179,9.20245398773006,23.240472503737,4.09550654949428,0.895373901508871,1.37622284861549
1942,8.85407798399455,8.93921334922527,22.4484606328592,3.69487485101311,0.766218287076452,1.14081389409161
1943,8.98384925975774,8.79878869448183,22.4865342569228,3.6507402422611,0.7907133243607,0.958950201884253
1944,8.56330490048503,8.29570162234487,23.2187076353903,3.81334671349724,0.852985449071751,1.08713831744439
1945,8.48945147679325,8.75949367088608,23.0964410974025,3.69620253164557,0.776371308016878,1.06329113924051
1946,10.1968702675416,9.25458522631667,22.5665075721174,3.76914016489988,0.824499411071849,1.27881541309103
1947,9.59409594095941,9.66118752096612,22.9583571948067,3.74035558537404,0.838644750083865,1.64374371016437
1948,9.41726498580731,10.0350642845216,23.1035520371976,3.8403740190349,0.868258473868759,1.61963599933211
1949,9.29652419757193,10.4274072842175,22.9449585767784,3.74189256610677,0.798270414102777,1.77947779810411
1950,9.90049751243781,10.3150912106136,23.2697760506478,3.84742951907131,0.829187396351575,2.1558872305141
1951,9.71504749208465,9.63172804532578,23.0059057257052,3.73271121479753,0.749875020829862,1.93301116480587
1952,10.9498903323773,9.26269613632529,22.3372043343042,3.57685169563017,0.708621562341825,1.78842584781508
1953,10.6975184439973,9.1046277665996,23.4282286610339,3.77263581488934,0.788061703554661,2.17974513749162
1954,10.6849773907218,9.46240160777089,22.8192165667807,3.61748450845754,0.82063305978898,2.02646122927483
1955,11.3655497558512,9.51338609193467,22.63850125147,3.41808385250042,0.740865465566594,2.34046135713083
1956,12.077943893835,9.44061817570973,22.6160103068414,3.51083487317319,0.755921384176046,2.40215017638166
1957,12.5293525662529,8.55417645085542,22.8182661046518,3.55585374035559,0.704461590070446,2.31465951023147
1958,12.9843643779742,8.63358259687288,22.8470576165254,3.60299116247451,0.696804894629504,2.37933378653977
1959,13.3108108108108,8.64864864864865,22.7251301132213,3.66554054054054,0.625,2.38175675675676
1960,13.5212694125591,8.84537474679271,22.5090055854919,3.62930452397029,0.692099932478055,2.24510465901418
